epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1006,2.38844,3.64532,1.37659,0.73472,0.187,0.40766,0.2069,1.83464,3.02797,1.23839,0.000365329,0.000365329,0.000365329
2,56.0658,1.89303,2.08273,1.17555,0.56799,0.75356,0.61739,0.29986,1.56185,1.82186,1.12951,0.000721096,0.000721096,0.000721096
3,82.7749,1.77602,1.74777,1.13225,0.67365,0.79086,0.73474,0.34119,1.64292,1.6181,1.12156,0.0010622,0.0010622,0.0010622
4,109.663,1.77624,1.6171,1.11263,0.59454,0.78563,0.67985,0.35563,1.57689,1.57233,1.09421,0.00104501,0.00104501,0.00104501
5,136.116,1.74259,1.53426,1.10468,0.65898,0.86234,0.71603,0.37824,1.48766,1.45056,1.03998,0.00102301,0.00102301,0.00102301
6,163.265,1.68671,1.46189,1.0639,0.70762,0.87469,0.79958,0.41987,1.48006,1.39702,1.05868,0.00100101,0.00100101,0.00100101
7,189.763,1.63877,1.41151,1.06063,0.76096,0.82771,0.80746,0.43384,1.47609,1.40922,1.03979,0.000979013,0.000979013,0.000979013
8,216.551,1.61729,1.3634,1.0616,0.80218,0.84397,0.88134,0.48331,1.48062,1.26635,1.03677,0.000957015,0.000957015,0.000957015
9,242.891,1.60751,1.29055,1.03703,0.85491,0.90601,0.89765,0.47627,1.49527,1.26598,1.03045,0.000935018,0.000935018,0.000935018
10,270.021,1.56949,1.23669,1.02659,0.85507,0.92936,0.94218,0.52883,1.40798,1.12913,1.0153,0.00091302,0.00091302,0.00091302
11,297.254,1.50289,1.20105,1.02188,0.92257,0.8608,0.92808,0.51451,1.42626,1.15365,1.00412,0.000891022,0.000891022,0.000891022
12,324.249,1.5087,1.15431,0.99778,0.92212,0.92413,0.95389,0.53728,1.4021,1.08106,0.98671,0.000869024,0.000869024,0.000869024
13,352.041,1.513,1.11798,1.00231,0.906,0.95279,0.92969,0.52717,1.3952,1.02503,0.98261,0.000847026,0.000847026,0.000847026
14,378.38,1.49763,1.08443,1.00067,0.95634,0.93425,0.95809,0.54166,1.38457,1.02498,0.96911,0.000825029,0.000825029,0.000825029
15,405.497,1.51352,1.09759,0.99089,0.91159,0.89028,0.93454,0.52998,1.38248,1.04111,0.96127,0.000803031,0.000803031,0.000803031
16,432.053,1.46957,1.04407,0.9708,0.94736,0.94933,0.96009,0.53973,1.37418,0.95337,0.96602,0.000781033,0.000781033,0.000781033
17,458.724,1.49959,1.06025,0.98475,0.95721,0.94579,0.95721,0.53631,1.39484,1.00423,0.96787,0.000759035,0.000759035,0.000759035
18,485.136,1.4918,1.038,0.98316,0.95922,0.93341,0.95165,0.52991,1.3906,0.96668,0.96886,0.000737037,0.000737037,0.000737037
19,512.167,1.45689,1.02326,0.96999,0.95487,0.92242,0.95055,0.55522,1.35939,0.95463,0.95065,0.00071504,0.00071504,0.00071504
20,538.777,1.44823,1.01416,0.97319,0.90361,0.92634,0.94082,0.54324,1.35258,0.95539,0.95318,0.000693042,0.000693042,0.000693042
21,565.478,1.4625,0.99979,0.96481,0.96074,0.95461,0.96878,0.55059,1.37137,0.90026,0.95815,0.000671044,0.000671044,0.000671044
22,592.336,1.49855,0.98008,0.96599,0.97543,0.95587,0.96366,0.56603,1.3554,0.91218,0.95226,0.000649046,0.000649046,0.000649046
23,619.315,1.4377,0.95856,0.95068,0.95397,0.95621,0.96952,0.54863,1.37883,0.89658,0.95613,0.000627048,0.000627048,0.000627048
24,647.202,1.41451,0.93434,0.95529,0.96535,0.93077,0.95888,0.54652,1.37889,0.88927,0.95089,0.000605051,0.000605051,0.000605051
25,673.965,1.39592,0.9085,0.96482,0.96625,0.93963,0.96005,0.57072,1.33926,0.84996,0.95209,0.000583053,0.000583053,0.000583053
26,701.55,1.39999,0.91824,0.95782,0.94211,0.94116,0.95175,0.56499,1.34805,0.87621,0.95965,0.000561055,0.000561055,0.000561055
27,728.117,1.40165,0.939,0.95518,0.95987,0.94498,0.95558,0.55467,1.36646,0.87307,0.94733,0.000539057,0.000539057,0.000539057
28,755.248,1.39772,0.90903,0.94427,0.94329,0.94321,0.95586,0.56325,1.35377,0.85207,0.93546,0.000517059,0.000517059,0.000517059
29,781.889,1.37572,0.89086,0.94987,0.9431,0.93768,0.95449,0.56948,1.31175,0.84716,0.92763,0.000495062,0.000495062,0.000495062
30,808.527,1.39145,0.89994,0.94712,0.95809,0.95176,0.95934,0.56267,1.32608,0.83505,0.93864,0.000473064,0.000473064,0.000473064
31,835.169,1.38695,0.88451,0.93622,0.95092,0.9592,0.963,0.56934,1.31033,0.82359,0.92735,0.000451066,0.000451066,0.000451066
32,861.524,1.37957,0.89202,0.93661,0.96056,0.95073,0.96421,0.57996,1.28875,0.81252,0.92201,0.000429068,0.000429068,0.000429068
33,888.729,1.3851,0.89512,0.94775,0.95338,0.94398,0.9625,0.56687,1.31278,0.82879,0.92565,0.00040707,0.00040707,0.00040707
34,915.425,1.37752,0.87759,0.93909,0.96979,0.9451,0.96638,0.57108,1.2987,0.83248,0.92601,0.000385073,0.000385073,0.000385073
35,942.89,1.37523,0.87681,0.93138,0.92956,0.94076,0.94607,0.56067,1.32013,0.82858,0.92647,0.000363075,0.000363075,0.000363075
36,970.111,1.36922,0.8786,0.94749,0.96604,0.94783,0.95791,0.5618,1.32315,0.81591,0.93388,0.000341077,0.000341077,0.000341077
37,998.005,1.36638,0.859,0.93037,0.96572,0.93623,0.96168,0.57554,1.2673,0.80349,0.9256,0.000319079,0.000319079,0.000319079
38,1025.61,1.35529,0.85906,0.9307,0.9506,0.95669,0.96558,0.57917,1.2791,0.78645,0.92322,0.000297081,0.000297081,0.000297081
39,1052.37,1.38336,0.85302,0.94634,0.96304,0.93781,0.9645,0.58562,1.26957,0.78843,0.92433,0.000275084,0.000275084,0.000275084
40,1080.27,1.34903,0.84055,0.93204,0.97382,0.94174,0.96662,0.58166,1.2899,0.78688,0.92721,0.000253086,0.000253086,0.000253086
41,1106.36,1.3442,0.83921,0.93768,0.9537,0.94295,0.95641,0.57195,1.29483,0.77828,0.92485,0.000231088,0.000231088,0.000231088
42,1132.47,1.31998,0.8271,0.92139,0.96089,0.93831,0.95793,0.57212,1.29604,0.76757,0.92225,0.00020909,0.00020909,0.00020909
43,1158.46,1.30774,0.82437,0.91614,0.96343,0.94075,0.96216,0.57658,1.29418,0.77212,0.92057,0.000187092,0.000187092,0.000187092
44,1184.39,1.32748,0.82281,0.92625,0.9665,0.95721,0.96672,0.58037,1.30625,0.78324,0.92442,0.000165095,0.000165095,0.000165095
45,1210.01,1.322,0.82189,0.92578,0.95314,0.95532,0.96498,0.58562,1.28306,0.7665,0.92138,0.000143097,0.000143097,0.000143097
46,1236.3,1.29389,0.8094,0.90807,0.96298,0.95262,0.96658,0.58534,1.27642,0.76307,0.91769,0.000121099,0.000121099,0.000121099
47,1262.26,1.28904,0.80344,0.90887,0.97009,0.9632,0.9688,0.58338,1.27243,0.75671,0.91461,9.91012e-05,9.91012e-05,9.91012e-05
48,1288.14,1.28957,0.79866,0.91439,0.9687,0.95995,0.96886,0.58737,1.26923,0.75012,0.91074,7.71034e-05,7.71034e-05,7.71034e-05
